SPECIALTY ID,SPEC Name,SEC Name,SECTION ID
00000165-c57c-db51-adfd-ef7f6bfe0000,Research Nurse,Research Nurse,00000165-a5a9-d7b1-a567-bff904250000
00000165-c57c-db51-adfd-ef7f6c1b0000,Rural Nurse,Rural Nurse,00000165-9194-d801-ade5-d5bc645d0000
00000165-c57c-db51-adfd-ef7f6c1e0000,School Nurse,School Nurse,00000165-a5f3-d440-ab75-bdfbf7530000
00000165-c57c-db51-adfd-ef7f6c690000,Sub-acute Nurse,Subacute Nurse,00000165-a5fc-dcdb-af6f-adfe16a60000
00000165-c57c-db51-adfd-ef7f6ca40000,Substance Abuse Nurse,Substance Abuse Nurse,00000165-a601-d440-ab75-bf899a2f0000
00000165-c57c-db51-adfd-ef7f6c620000,Supplemental Nurse,Supplemental Nurse,00000165-a609-dcdb-af6f-affb49620000
00000165-c57c-db51-adfd-ef7f6c210000,Telemetry Nurse,Telemetry Nurse,00000165-a60e-d440-ab75-bf8e525f0000
00000165-c57c-db51-adfd-ef7f6c230000,Telephone Triage Nurse,Telephone Triage Nurse,00000165-a624-d440-ab75-bfac48780000
00000165-c57c-db51-adfd-ef7f6c260000,Toxicology Nurse,Toxicology Nurse,00000165-a66e-dcdb-af6f-affeef3b0000
00000165-c57c-db51-adfd-ef7f6c640000,Transcultural Nurse,Transcultural Nurse,00000165-a675-dcdb-af6f-afff8d4e0000
00000165-c57c-db51-adfd-ef7f6c800000,Transplant Nurse,Transplant Nurse,00000165-a67f-dcdb-af6f-afffaad00000
00000165-c57c-db51-adfd-ef7f6c280000,Trauma Nurse,Trauma Nurse,00000165-a686-d440-ab75-bf8e16a40000
00000165-c57c-db51-adfd-ef7f6c2b0000,Travel Nurse,Travel Nurse,00000165-9150-d036-af6f-9b71f6370000
00000165-c57c-db51-adfd-ef7f6c2d0000,Urologic Nurse,Urology Nurse,00000165-916c-d801-ade5-d56c92dc0000
00000165-c57c-db51-adfd-ef7f6c300000,Veterans Affairs (VA Nurse,Veterans Affairs Nurse,00000165-918c-d801-ade5-d5ac66650000
00000165-c57c-db51-adfd-ef7f6c330000,"Wound, Ostomy, and Continence Nurse","Wound, Ostomy, and Continence Nurse",00000165-8b87-dce2-a575-cf8f07c70000
